cluster,query,clicks,impressions,ctr,position
20,campus collection,1,151,0.7%,8.1
20,2pack,1,120,0.8%,18.4
20,lapel pin,1,3,33.3%,164.3
20,shrome://dino,1,3,33.3%,7.0
20,notebook set,1,246,0.4%,11.7
20,グーグル tシャツ,1,9,11.1%,5.3
20,crome dinosour,1,49,2.0%,10.1
20,shopby,1,54,1.9%,10.2
20,stickers,1,3563,0.0%,55.6
20,logo ggo,1,1,100.0%,39.0
20,will be shipped within,1,31,3.2%,9.6
20,enjoy mug,1,1,100.0%,13.0
20,puzzlebot,2,72,2.8%,7.0
20,グーグルマーチャンダイズストア,4,9,44.4%,1.0
20,гугл мерч,6,45,13.3%,3.0
20,mouse pad,3,1672,0.2%,44.5
20,thermal bottle,9,2302,0.4%,9.2
20,morebags,2,13,15.4%,1.3
20,구글머천다이즈스토어,11,15,73.3%,1.0
20,yuotube.com ph,1,23,4.3%,10.5
20,warm gear,5,458,1.1%,10.7
20,यूट्यूब स्टोर,1,21,4.8%,8.7
20,noogler,1,186,0.5%,14.7
20,구글머천다이즈,14,17,82.4%,1.0
20,متجر يوتيوب,1,8,12.5%,8.3
20,red yutube,1,4,25.0%,16.0
20,bugdroid toy,2,7,28.6%,9.9
21,_dc_gtm cookie,1,7,14.3%,9.6
22,goigle shop,1,26,3.8%,8.5
22,tube shop,1,4,25.0%,7.8
22,figure shop,1,21,4.8%,45.6
22,jutjub shop,3,142,2.1%,7.5
22,apo shop,1,10,10.0%,9.9
23,utility backpacks,1,96,1.0%,5.2
23,utility backpack,1,1156,0.1%,1.7
24,black tee,5,3384,0.1%,3.5
24,tee black,1,151,0.7%,5.2
24,red tee,1,451,0.2%,3.9
24,black sherpa vest,1,131,0.8%,1.7
25,g_enabled_idps,9,125,7.2%,2.9
25,g_enabled_idps cookie,1,16,6.3%,3.1
26,gcp swags,1,5,20.0%,11.2
26,gcp swag,4,19,21.1%,5.2
